//Index	Rate	Name					Level	MaxLife	MaxMan	DmgMin	DmgMax	Defense	MgcDef	AtkRate	DefRate	MvRange	AtkType	AtkRang	View	MvSpeed	AtkSped	Regen	Attrib	ItmRate	Money	MItmLvl	Skill	Ice	Poison	Lightin	Fire
37	1	"Devil"					60	5000	0	180	195	115	0	300	88	3	3	4	7	400	2000	5	2	200	46	3	0	5	5	5	7
38	1	"Balrog"				66	9000	0	220	240	160	0	330	99	3	150	2	7	400	1600	5	2	160	46	3	0	10	10	10	15
39	1	"Poison Shadow"				50	3500	0	155	160	85	0	250	73	3	1	1	5	400	1400	5	2	200	46	3	0	6	4	4	6
40	1	"Death Knight"				62	5500	0	190	200	120	0	310	91	3	0	1	7	400	1800	5	2	200	46	3	0	6	6	6	7
41	1	"Death Cow"				57	4500	0	170	180	110	0	285	85	3	0	1	7	400	1600	5	2	200	46	3	0	5	5	5	7
42	1	"Red Dragon"				47	5000	0	300	350	230	0	200	80	3	150	5	7	800	2000	21600	2	100	0	4	0	100	254	100	100
43	1	"Golden Budge Dragon"			15	2200	0	120	125	45	0	75	30	3	0	1	7	400	1400	21600	2	10	20	0	0	2	2	2	2
44	1	"Dragon"				60	15000	0	190	210	120	0	300	88	3	150	2	7	400	1800	5	2	50	20	0	0	9	7	9	9
45	1	"Bahamut"				43	2400	0	130	140	65	0	215	52	2	0	1	4	400	1600	5	2	185	28	3	0	1	1	1	1
46	1	"Vepar"					45	2800	0	135	145	70	0	225	58	3	17	4	7	400	1600	5	2	185	28	3	0	2	2	3	2
47	1	"Valkyrie"				46	3200	0	140	150	75	0	230	64	3	0	5	7	400	1800	5	2	185	28	3	0	6	2	2	2
48	1	"Lizard King"				70	9000	0	240	270	180	0	350	115	3	3	3	7	400	1600	5	2	175	46	3	0	7	7	7	7
49	1	"Hydra"					74	19000	0	250	310	200	0	430	125	3	150	4	7	400	1400	5	2	175	46	3	0	12	12	12	12
50	1	"Sea Worm"				74	19000	0	250	310	200	0	430	125	3	150	4	7	400	1400	150	2	175	14	3	0	12	12	12	12
51	1	"Great Bahamut"				66	7000	0	210	230	150	0	330	98	3	0	2	7	400	1600	5	2	175	46	3	0	6	6	6	6
52	1	"Silver Valkyrie"			68	8000	0	230	260	170	0	340	110	3	7	4	7	400	1600	5	2	175	46	3	0	7	7	7	7
53	1	"Golden Titan"				53	8000	0	170	180	105	0	265	77	3	150	3	7	400	2000	5	2	200	28	3	0	5	5	5	5
54	1	"Golden Soldier"			46	3500	0	140	150	75	0	230	64	3	0	5	7	400	1800	5	2	200	28	3	0	3	3	3	3
55	1	"Death King"				30	1800	0	105	110	37	0	150	37	2	0	2	6	400	1800	5	2	200	28	3	0	2	2	2	2
56	1	"Death Bone"				24	700	0	85	90	29	0	120	29	3	0	1	5	400	1600	5	2	200	28	4	0	1	1	1	1
57	1	"Iron Wheel"				80	17000	0	280	330	215	0	446	150	3	0	4	7	400	1400	5	2	160	100	3	0	9	9	9	9
58	1	"Tantalos"				83	22000	0	335	385	250	0	500	175	3	150	2	7	400	1400	5	2	160	100	3	0	9	9	9	9
59	1	"Zaikan"				90	34000	0	510	590	400	0	550	185	3	150	5	7	400	1400	5	2	160	100	3	0	13	13	13	15
60	1	"Bloody wolf"				76	13500	0	260	300	200	0	410	130	3	0	2	7	400	1400	5	2	170	100	3	0	8	8	8	8
//Index	Rate	Name					Level	MaxLife	MaxMan	DmgMin	DmgMax	Defense	MgcDef	AtkRate	DefRate	MvRange	AtkType	AtkRang	View	MvSpeed	AtkSped	Regen	Attrib	ItmRate	Money	MItmLvl	Skill	Resis1	Resis2	Resis3	Resis4
61	1	"Beam Knight"				84	25000	0	375	425	275	0	530	190	3	17	4	7	400	1400	5	2	160	100	3	0	10	10	10	10
62	1	"Mutant"				72	10000	0	250	280	190	0	365	120	3	0	1	7	400	1400	5	2	170	100	3	0	8	8	8	8
63	1	"Death Beam Knight"			93	40000	0	590	650	420	0	575	220	3	150	5	7	400	1400	5	2	130	100	3	0	13	13	13	17
64	1	"Ogre archer"				70	10000	0	220	250	170	0	350	115	3	0	4	7	400	1600	5	2	200	28	3	0	7	7	7	7
65	1	"Elite Ogre"				74	14000	0	260	290	190	0	400	125	3	150	1	7	400	2000	5	2	180	28	3	0	8	8	8	8
66	1	"Cursed king"				86	38000	0	500	570	350	0	525	200	3	150	4	7	400	1400	5	2	200	60	3	0	17	17	17	17
67	1	"Metal Balrog"				77	26000	0	300	360	220	0	385	150	3	150	2	7	400	1600	5	2	160	28	3	0	9	9	9	9
69	1	"Alquamos"				75	11500	0	255	290	195	0	385	125	3	17	5	5	400	1400	5	2	160	46	3	0	9	9	11	9
70	1	"Queen Rainier"				82	19000	0	305	350	230	0	475	160	3	17	3	5	400	1400	5	2	160	46	3	0	9	11	12	9
71	1	"Mega Crust"				78	15000	0	270	320	210	0	430	140	3	0	1	5	400	1400	5	2	160	46	3	0	9	9	12	9
72	1	"Phantom Knight"			96	41000	0	560	610	425	0	690	270	3	150	2	5	400	1400	5	2	150	46	3	0	14	14	16	14
73	1	"Drakan"				86	29000	0	425	480	305	0	570	210	3	150	5	5	400	1400	5	2	160	46	3	0	12	12	13	12
74	1	"Alpha Crust"				92	34500	0	489	540	360	0	620	240	3	0	1	5	400	1400	5	2	160	46	3	0	13	13	14	13
75	1	"Great Drakan"				100	50000	0	650	700	495	0	800	305	3	150	5	5	400	1400	5	2	140	46	3	0	15	15	17	18
77	1	"Phoenix of Darkness"			108	95000	0	950	1000	600	0	900	350	1	150	6	7	400	1500	5	2	120	46	4	0	30	30	35	30
78	1	"Golden Goblin"				20	3100	0	125	130	50	0	100	30	3	0	1	7	400	1400	21600	2	10	20	0	0	2	2	2	2
79	1	"Golden Derkon"				80	23000	0	300	350	230	0	400	90	3	150	2	7	400	1800	21600	2	50	20	0	0	9	7	9	9
80	1	"Golden Lizard King"			83	25000	0	310	360	240	0	415	150	3	3	3	7	400	1600	21600	2	175	28	3	0	9	7	9	9
81	1	"Golden Vepar"				61	6300	0	190	200	110	0	310	90	3	17	4	7	400	1600	21600	2	185	28	3	0	0	0	3	0
82	1	"Golden Tantalos"			90	30000	0	450	560	300	0	450	185	3	150	2	7	400	1400	21600	2	180	60	3	0	9	7	9	9
83	1	"Golden Wheel"				77	15000	0	320	360	230	0	385	160	3	0	4	7	400	1400	21600	2	180	60	3	0	9	7	9	9
84	1	"Chief Skeleton Warrior"		33	1100	0	100	120	55	0	190	45	3	0	1	3	400	2000	5	2	300	400	3	0	0	0	0	0
85	1	"Chief Skeleton Archer"			37	1400	0	110	130	65	0	210	49	3	0	5	7	400	1600	5	2	300	400	3	0	0	0	0	0
86	1	"Dark Skull Soldier"			41	1700	0	120	140	75	0	230	61	3	0	1	3	400	2000	5	2	250	300	3	0	0	0	0	0
87	1	"Giant Ogre"				44	2100	0	130	150	85	0	250	73	3	17	5	7	400	1600	5	2	250	300	3	0	0	0	0	0
88	1	"Red Skeleton Knight"			47	2800	0	140	160	95	0	270	77	3	0	1	3	400	2000	5	2	200	200	3	0	0	0	0	0
89	1	"Magic Skeleton"			51	3700	0	150	180	115	0	300	88	4	150	4	6	400	1600	5	2	150	100	4	0	3	3	3	3
90	1	"Chief Skeleton Warrior"		49	3500	0	140	170	90	0	250	76	3	0	1	3	400	2000	5	2	300	400	3	0	1	1	1	1
91	1	"Chief Skeleton Archer"			53	4100	0	150	180	100	0	275	80	3	0	5	7	400	1600	5	2	300	400	3	0	1	1	1	1
//Index	Rate	Name					Level	MaxLife	MaxMan	DmgMin	DmgMax	Defense	MgcDef	AtkRate	DefRate	MvRange	AtkType	AtkRang	View	MvSpeed	AtkSped	Regen	Attrib	ItmRate	Money	MItmLvl	Skill	Resis1	Resis2	Resis3	Resis4
92	1	"Dark Skull Soldier"			56	5000	0	160	190	115	0	300	88	3	0	1	3	400	2000	5	2	250	300	3	0	1	1	1	1
93	1	"Giant Ogre"				60	6000	0	175	210	130	0	320	95	3	17	5	7	400	1600	5	2	250	300	3	0	1	1	1	1
94	1	"Red Skeleton Knight"			64	7000	0	185	220	170	0	360	110	3	0	1	3	400	2000	5	2	200	200	3	0	1	1	1	1
95	1	"Magic Skeleton"			69	8000	0	200	240	190	0	400	130	4	150	4	6	400	1800	5	2	150	100	4	0	4	4	4	4
96	1	"Chief Skeleton Warrior"		56	5000	0	160	180	110	0	300	85	3	0	1	3	400	2000	5	2	300	400	3	0	2	2	2	2
97	1	"Chief Skeleton Archer"			61	6500	0	180	200	120	0	330	93	3	0	5	7	400	1600	5	2	300	400	3	0	2	2	2	2
98	1	"Dark Skull Soldier"			66	8000	0	190	220	150	0	360	98	3	0	1	3	400	2000	5	2	250	300	3	0	2	2	2	2
99	1	"Giant Ogre"				70	9500	0	210	240	180	0	400	115	3	17	5	7	400	1600	5	2	250	300	3	0	2	2	2	2
100	1	"Lance"					80	1000	0	100	110	0	0	400	500	0	0	4	1	500	1000	5	1	200	20	0	0	0	0	0	0
101	1	"Iron Stick"				80	1000	0	110	130	0	0	400	500	0	0	0	1	500	1000	5	1	200	20	0	0	0	0	0	0
102	1	"Fire"					80	1000	0	130	150	0	0	400	500	0	0	2	1	500	1000	5	1	200	20	0	0	0	0	0	0
103	1	"Meteorite"				90	1000	0	160	190	0	0	450	500	0	50	0	1	500	1000	5	1	200	20	0	0	0	0	0	0
104	1	"Trap"					2	50	0	500	600	0	0	800	30	0	50	0	1	0	1000	0	0	0	0	0	0	0	0	0	0
105	1	"Canon Trap"				80	1000	0	200	203	0	0	400	500	0	0	4	2	500	1000	5	1	200	10	0	0	0	0	0	0
106	1	"Laser Trap"				80	1000	0	150	152	0	0	400	500	0	0	1	1	500	1000	5	1	200	10	0	0	0	0	0	0
111	1	"Red Skeleton Knight"			74	12000	0	220	260	190	0	440	130	3	0	1	3	400	2000	5	2	200	200	3	0	2	2	2	2
112	1	"Magic Skeleton"			79	15000	0	230	280	240	0	500	180	4	150	4	6	400	1800	5	2	150	100	4	0	5	5	5	5
113	1	"Chief Skeleton Warrior"		64	7500	0	180	220	150	0	340	98	3	0	1	3	400	2000	5	2	300	400	3	0	4	4	4	4
114	1	"Chief Skeleton Archer"			69	9500	0	200	240	170	0	380	110	3	0	5	7	400	1600	5	2	300	400	3	0	4	4	4	4
115	1	"Dark Skull Soldier"			75	12000	0	220	260	190	0	440	130	3	0	1	3	400	2000	5	2	250	300	3	0	4	4	4	4
116	1	"Giant Ogre"				79	15000	0	250	290	210	0	500	150	3	17	5	7	400	1600	5	2	250	300	3	0	4	4	4	4
117	1	"Red Skeleton Knight"			82	18000	0	270	320	290	0	560	170	3	0	1	3	400	2000	5	2	200	200	3	0	4	4	4	4
118	1	"Magic Skeleton"			84	24000	0	300	350	360	0	640	200	4	150	4	6	400	1800	5	2	150	100	4	0	7	7	7	7
119	1	"Chief Skeleton Warrior"		70	12000	0	210	270	185	0	380	125	3	0	1	3	400	2000	5	2	300	400	3	0	5	5	5	5
120	1	"Chief Skeleton Archer"			75	15000	0	240	300	190	0	420	130	3	0	5	7	400	1600	5	2	300	400	3	0	5	5	5	5
121	1	"Dark Skull Soldier"			80	19000	0	280	340	220	0	470	175	3	0	1	3	400	2000	5	2	250	300	3	0	5	5	5	5
122	1	"Giant Ogre"				85	23000	0	340	390	300	0	520	190	3	17	5	7	400	1600	5	2	250	300	3	0	5	5	5	5
123	1	"Red Skeleton Knight"			87	26000	0	370	410	400	0	650	200	3	0	1	3	400	2000	5	2	200	200	3	0	5	5	5	5
124	1	"Magic Skeleton"			90	32000	0	400	460	450	0	720	260	4	150	4	6	400	1800	5	2	150	100	4	0	8	8	8	8
125	1	"Chief Skeleton Warrior"		76	17000	0	260	290	210	0	460	150	3	0	1	3	400	2000	5	2	300	400	3	0	6	6	6	6
//Index	Rate	Name					Level	MaxLife	MaxMan	DmgMin	DmgMax	Defense	MgcDef	AtkRate	DefRate	MvRange	AtkType	AtkRang	View	MvSpeed	AtkSped	Regen	Attrib	ItmRate	Money	MItmLvl	Skill	Resis1	Resis2	Resis3	Resis4
126	1	"Chief Skeleton Archer"			81	20000	0	320	350	270	0	520	160	3	0	5	7	400	1600	5	2	300	400	3	0	6	6	6	6
127	1	"Dark Skull Soldier"			86	25000	0	390	420	360	0	580	195	3	0	1	3	400	2000	5	2	250	300	3	0	6	6	6	6
128	1	"Giant Ogre"				90	32000	0	440	500	400	0	660	230	3	17	5	7	400	1600	5	2	250	300	3	0	6	6	6	6
129	1	"Red Skeleton Knight"			94	38000	0	480	540	450	0	720	260	3	0	1	3	400	2000	5	2	200	200	3	0	6	6	6	6
130	1	"Magic Skeleton"			99	47000	0	530	580	500	0	840	280	4	150	4	6	400	1800	5	2	150	100	4	0	9	9	9	9
131	1	"Castle Gate"				2	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100
132	1	"Statue of Saint"			2	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100
133	1	"Statue of Saint"			2	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100
134	1	"Statue of Saint"			2	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	100	100	100
150	1	"Bali"					52	5000	0	165	170	100	0	260	75	3	0	1	7	400	1600	5	2	160	20	3	0	6	6	6	6
151	1	"Soldier"				58	4000	0	175	180	110	0	290	86	3	0	4	7	400	1600	5	2	160	20	3	0	6	6	6	6
152	0	"Pichula"				2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	5	0	200	10	0	0	0	0	0	0
200	1	"Soccer Ball"				12	1000	0	150	200	0	0	60	500	0	0	4	1	500	1000	5	1	200	20	0	0	0	0	0	0
//Index	Rate	Name					Level	MaxLife	MaxMan	DmgMin	DmgMax	Defense	MgcDef	AtkRate	DefRate	MvRange	AtkType	AtkRang	View	MvSpeed	AtkSped	Regen	Attrib	ItmRate	Money	MItmLvl	Skill	Resis1	Resis2	Resis3	Resis4
230	0	"Wandering Merchant Alex"		2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	5	0	200	10	0	0	0	0	0	0
231	0	"Thompson Kenel"			2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	5	0	200	10	0	0	0	0	0	0
232	0	"Archangel"				2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	5	0	200	10	0	0	0	0	0	0
233	0	"Messenger of Archangel"		2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	5	0	200	10	0	0	0	0	0	0
234	0	"Npc Transfer"				2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	5	0	200	10	0	0	0	0	0	0
235	0	"Sebina the Priest"			2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	5	0	200	10	0	0	0	0	0	0
236	0	"Golden Archer"				2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	5	0	200	10	0	0	0	0	0	0
237	0	"Charon"				2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	5	0	200	10	0	0	0	0	0	0
238	0	"Chaos Goblin"				2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	5	0	200	10	0	0	0	0	0	0
239	0	"Arena Guard"				2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	5	0	200	10	0	0	0	0	0	0
240	0	"Safety Guardian"			2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	5	0	200	10	0	0	0	0	0	0
241	0	"Captain Lorence"			2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	5	0	200	10	0	0	0	0	0	0
242	0	"Elf Lala"				2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	5	0	200	10	0	0	0	0	0	0
243	0	"Eo the Craftsman"			2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	5	0	200	10	0	0	0	0	0	0
244	0	"Caren the Barmaid"			2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	5	0	200	10	0	0	0	0	0	0
245	0	"Wizard Izabel"				2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	5	0	200	10	0	0	0	0	0	0
246	0	"Weapons Merchant Zienna"		20	1000	0	15	30	70	0	100	30	0	0	0	5	400	1500	5	0	200	10	0	0	0	0	0	0
247	0	"Archer Guard"				90	10000	0	180	195	70	20	300	100	5	0	2	2	400	1500	5	1	200	10	0	0	0	0	0	0
248	0	"Merchant Martin"			20	1000	0	15	30	70	0	100	30	0	0	0	5	400	1500	5	0	200	10	0	0	0	0	0	0
249	0	"Berdysh Guard"				90	10000	0	180	195	70	20	300	100	5	0	5	5	400	1500	5	1	200	10	0	0	0	0	0	0
250	0	"Merchant Peddler"			20	1000	0	15	30	70	20	100	30	0	0	0	5	400	1000	5	0	200	10	0	0	0	0	0	0
251	0	"Hanzo the Blacksmith"			20	1000	0	15	30	70	20	100	30	0	0	0	5	400	1500	5	0	200	10	0	0	0	0	0	0
252	0	""					2	50	0	15	30	70	20	10	30	0	0	2	5	400	1000	5	0	200	10	0	0	0	0	0	0
253	0	"Potion Girl Amy"			2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	5	0	200	10	0	0	0	0	0	0
254	0	"Pasi the Mage"				2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	5	0	200	10	0	0	0	0	0	0
255	0	"Lumen the Barmaid"			2	50	0	15	30	70	20	10	30	0	0	0	5	400	1500	5	0	200	10	0	0	0	0	0	0
end
